Source,Target,Relation
maryashakil,AejazPaul,friend_of_friend
maryashakil,edwinthampi,friend_of_friend
maryashakil,SurbhiJ61475981,friend_of_friend
@SitaramYechury,dhanyarajendran,friend
ShreyasKatta30,dhanyarajendran,follower_of_friend
bora_dipranjan,dhanyarajendran,follower_of_friend
Saswat_r_sahoo,dhanyarajendran,follower_of_friend
bkc12,dhanyarajendran,follower_of_friend
42Shiv,dhanyarajendran,follower_of_friend
Dharmen10588850,dhanyarajendran,follower_of_friend
joinuday,dhanyarajendran,follower_of_friend
krishna01785843,dhanyarajendran,follower_of_friend
DanielAlanRoy1,dhanyarajendran,follower_of_friend
Jagadis75098116,dhanyarajendran,follower_of_friend
Huron93190931,dhanyarajendran,follower_of_friend
nilay_chaki,dhanyarajendran,follower_of_friend
sachin92287140,dhanyarajendran,follower_of_friend
kadanveetil,dhanyarajendran,follower_of_friend
tasleemrabbani1,dhanyarajendran,follower_of_friend
vijethakelamane,dhanyarajendran,follower_of_friend
Vediyadav2,dhanyarajendran,follower_of_friend
ThinkGoodFound1,dhanyarajendran,follower_of_friend
mp_favaz,dhanyarajendran,follower_of_friend
Bharathk19,dhanyarajendran,follower_of_friend
dhanyarajendran,ShreyasKatta30,friend_of_friend
dhanyarajendran,bora_dipranjan,friend_of_friend
dhanyarajendran,Saswat_r_sahoo,friend_of_friend
dhanyarajendran,bkc12,friend_of_friend
dhanyarajendran,42Shiv,friend_of_friend
dhanyarajendran,Dharmen10588850,friend_of_friend
dhanyarajendran,joinuday,friend_of_friend
dhanyarajendran,krishna01785843,friend_of_friend
dhanyarajendran,DanielAlanRoy1,friend_of_friend
dhanyarajendran,Jagadis75098116,friend_of_friend
dhanyarajendran,Huron93190931,friend_of_friend
dhanyarajendran,nilay_chaki,friend_of_friend
dhanyarajendran,sachin92287140,friend_of_friend
dhanyarajendran,kadanveetil,friend_of_friend
dhanyarajendran,tasleemrabbani1,friend_of_friend
dhanyarajendran,vijethakelamane,friend_of_friend
dhanyarajendran,Vediyadav2,friend_of_friend
dhanyarajendran,ThinkGoodFound1,friend_of_friend
dhanyarajendran,mp_favaz,friend_of_friend
dhanyarajendran,Bharathk19,friend_of_friend
@SitaramYechury,thenewsminute,friend
SudhanshuArora4,thenewsminute,follower_of_friend
