Source,Target
Nandita35193822,MahuaMoitra
aman_alyse,MahuaMoitra
PriyankushGhos3,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
0786Sartaj,MahuaMoitra
Jayanta62385454,MahuaMoitra
Nandita35193822,MahuaMoitra
valsajaison,MahuaMoitra
CM92Q,MahuaMoitra
HanifPatni,MahuaMoitra
Abuzar90890626,MahuaMoitra
zamana2,MahuaMoitra
shahnawaz_fb,MahuaMoitra
Romita42649253,MahuaMoitra
gousiya786,MahuaMoitra
TanishkaSaini6,MahuaMoitra
rayalaratnam,MahuaMoitra
vasimpatel786,MahuaMoitra
HinokaX,MahuaMoitra
SJSyedAbdurRah1,MahuaMoitra
dreammail4u,MahuaMoitra
Hasim993,MamataOfficial
ArnavPaul56,MamataOfficial
Porimal_Bong,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
nAZbSXveVUbOGjB,MamataOfficial
Subhasi83803995,MamataOfficial
subhajitdas2co1,MamataOfficial
AmartyaKumarMo1,MamataOfficial
santuaitc,MamataOfficial
iamComutpal,MamataOfficial
Rajahindustanie,MahuaMoitra
3kA6601NxLYwaRg,MahuaMoitra
rightman4444,MahuaMoitra
NasirHu37125332,MahuaMoitra
Tmanoj67Tiwari,MahuaMoitra
tarunkghosh1,MahuaMoitra
S07226785Ranjit,MahuaMoitra
Qais0402,MahuaMoitra
SekarRathin,MahuaMoitra
sushers9,MahuaMoitra
Secular_Hoon,MahuaMoitra
tushatweets,MahuaMoitra
adnaaaaan_,MahuaMoitra
riyazahmad6828,MahuaMoitra
AbhiKanabar1,MahuaMoitra
marissapoa,MahuaMoitra
shema9,MahuaMoitra
gautamicp,MahuaMoitra
Baljeet35018315,MahuaMoitra
Mahua_Moitra_F,MahuaMoitra
BarodiaManoj,MahuaMoitra
SanawarJyotu,MahuaMoitra
debopriyo_seal,MahuaMoitra
Rajababuch1,MahuaMoitra
bakrawala_zaid,MahuaMoitra
chdvik,MahuaMoitra
Najibul_AITC,MahuaMoitra
IndiaFilmTVOTT,MahuaMoitra
SandeepThakur_7,MahuaMoitra
DrRudra12,MahuaMoitra
SitaraPradhan,MahuaMoitra
satirist_indian,MahuaMoitra
Najibul_AITC,MahuaMoitra
debopriyo_seal,MahuaMoitra
bakrawala_zaid,MahuaMoitra
tanveer13,MahuaMoitra
TheTrut22642514,MahuaMoitra
AnkanNayak4,MahuaMoitra
IndianCrying,MahuaMoitra
kszakarkal,MahuaMoitra
Titir01754174,MahuaMoitra
gpmohanbabu,MahuaMoitra
Samrat63997071,MahuaMoitra
AbdulHa09352940,MahuaMoitra
mohanajik,MahuaMoitra
mdaslam48365235,MahuaMoitra
warrior_kaur,MahuaMoitra
Sukhleenk1508,MahuaMoitra
RahulSaysItLoud,MahuaMoitra
_shamim7,MahuaMoitra
Bhavesh99T,MahuaMoitra
ItsJSingh,MahuaMoitra
berojzgar,MahuaMoitra
jasvindersaini1,MahuaMoitra
Gaddapa,MahuaMoitra
HarishPCC,MahuaMoitra
Prabhasmekian,MahuaMoitra
PoppyMpf6666,MahuaMoitra
riyazahmad6828,MahuaMoitra
AbhiKanabar1,MahuaMoitra
ritadhi,MahuaMoitra
philipose_sam,MahuaMoitra
BabitaRoyChowd2,MahuaMoitra
faslu99,MahuaMoitra
Siddharthrao786,MahuaMoitra
tanzyy01,MahuaMoitra
Pain07001762,MahuaMoitra
PriyaMun,MahuaMoitra
_Krishna12,MahuaMoitra
Fareeta,MahuaMoitra
Bipin28136587,MahuaMoitra
Abhilash_Fasul,MahuaMoitra
dammpunk,MahuaMoitra
Gkills1,MahuaMoitra
Cleanma43125202,MahuaMoitra
bmwonthemove,MahuaMoitra
AbhiKanabar1,MahuaMoitra
SpiralHeights,MahuaMoitra
