Source,Target,Relation,,
BhatiaMable,Abbaschatriwala,friend_of_follower,,
BhatiaMable,_letstrade,friend_of_follower,,
BhatiaMable,WeWorkFoundati1,friend_of_follower,,
BhatiaMable,paryavaranpost2,friend_of_follower,,
BhatiaMable,Wrestletoonz,friend_of_follower,,
BhatiaMable,Skm68161011,friend_of_follower,,
BhatiaMable,PoornaNayak1,friend_of_follower,,
BhatiaMable,BHAGWANKAMBLE20,friend_of_follower,,
BhatiaMable,diaz3et,friend_of_follower,,
BhatiaMable,ishhrcofficial,friend_of_follower,,
BhatiaMable,lawren18242027,friend_of_follower,,
BhatiaMable,Ganesh07922494,friend_of_follower,,
BhatiaMable,RandoPitches,friend_of_follower,,
Sunandamanna6,@DilipGhoshBJP,follower,,
Sunandamanna6,enssecurity,friend_of_follower,,
Sunandamanna6,Abbaschatriwala,friend_of_follower,,
Sunandamanna6,_letstrade,friend_of_follower,,
Sunandamanna6,WeWorkFoundati1,friend_of_follower,,
Sunandamanna6,paryavaranpost2,friend_of_follower,,
Sunandamanna6,Wrestletoonz,friend_of_follower,,
Sunandamanna6,Skm68161011,friend_of_follower,,
Sunandamanna6,PoornaNayak1,friend_of_follower,,
Sunandamanna6,BHAGWANKAMBLE20,friend_of_follower,,
Sunandamanna6,diaz3et,friend_of_follower,,
Sunandamanna6,ishhrcofficial,friend_of_follower,,
Sunandamanna6,lawren18242027,friend_of_follower,,
Sunandamanna6,Ganesh07922494,friend_of_follower,,
Sunandamanna6,RandoPitches,friend_of_follower,,
Surinde68813880,@DilipGhoshBJP,follower,,
Surinde68813880,enssecurity,friend_of_follower,,
Surinde68813880,Abbaschatriwala,friend_of_follower,,
Surinde68813880,_letstrade,friend_of_follower,,
Surinde68813880,WeWorkFoundati1,friend_of_follower,,
Surinde68813880,paryavaranpost2,friend_of_follower,,
Surinde68813880,Wrestletoonz,friend_of_follower,,
Surinde68813880,Skm68161011,friend_of_follower,,
Surinde68813880,PoornaNayak1,friend_of_follower,,
Surinde68813880,BHAGWANKAMBLE20,friend_of_follower,,
Surinde68813880,diaz3et,friend_of_follower,,
Surinde68813880,ishhrcofficial,friend_of_follower,,
Surinde68813880,lawren18242027,friend_of_follower,,
Surinde68813880,Ganesh07922494,friend_of_follower,,
Surinde68813880,RandoPitches,friend_of_follower,,
SourapC,@DilipGhoshBJP,follower,,
SourapC,enssecurity,friend_of_follower,,
SourapC,Abbaschatriwala,friend_of_follower,,
SourapC,_letstrade,friend_of_follower,,
SourapC,WeWorkFoundati1,friend_of_follower,,
SourapC,paryavaranpost2,friend_of_follower,,
SourapC,Wrestletoonz,friend_of_follower,,
SourapC,Skm68161011,friend_of_follower,,
SourapC,PoornaNayak1,friend_of_follower,,
SourapC,BHAGWANKAMBLE20,friend_of_follower,,
SourapC,diaz3et,friend_of_follower,,
SourapC,ishhrcofficial,friend_of_follower,,
SourapC,lawren18242027,friend_of_follower,,
SourapC,Ganesh07922494,friend_of_follower,,
SourapC,RandoPitches,friend_of_follower,,
S_B_713212,@DilipGhoshBJP,follower,,
SoyUn_Demonio,S_B_713212,follower_of_follower,,
spandan_dey,S_B_713212,follower_of_follower,,
S_B_713212,SoyUn_Demonio,friend_of_follower,,
S_B_713212,spandan_dey,friend_of_follower,,
RahulMa07182637,@DilipGhoshBJP,follower,,
RahulMa07182637,SoyUn_Demonio,friend_of_follower,,
RahulMa07182637,spandan_dey,friend_of_follower,,
SilaPaul8,@DilipGhoshBJP,follower,,
SilaPaul8,SoyUn_Demonio,friend_of_follower,,
SilaPaul8,spandan_dey,friend_of_follower,,
NijanandSarasw3,@DilipGhoshBJP,follower,,
AdvocatePunee13,NijanandSarasw3,follower_of_follower,,
